,Vin,Iin,Efficiency
0,4.99494461,0.029,1.1212984530317773
1,4.98530489,0.338,0.9754809598121198
2,4.97450633,0.683,0.9682464269717227
3,4.96345009,1.036,0.9592034633526034
4,4.95213284,1.397,0.9501843861523137
5,4.94050675,1.768,0.9401521021221326
6,4.9285423,2.15,0.9291289738106528
7,4.91617189,2.544,0.9178475858669367
8,4.90330324,2.953,0.9055991071164139
9,4.88976481,3.382,0.8914784520343806
10,4.87550611,3.834,0.8757586627475503
11,5.99300012,0.023,1.1785523158336582
12,5.98480949,0.283,0.9697930657405458
13,5.97580058,0.571,0.9635847651435214
14,5.96666823,0.864,0.9562459112312856
15,5.9573033,1.162,0.9488550478588734
16,5.94770999,1.467,0.9402046038442479
17,5.93794843,1.779,0.9308065373684417
18,5.92786907,2.1,0.9206308600199902
19,5.91755275,2.428,0.9109034129163133
20,5.90680185,2.77,0.8990138370659375
21,5.89543511,3.125,0.8863730913540663
22,6.98358275,0.019,1.224388887283725
23,6.97656468,0.244,0.9654209273310742
24,6.96877673,0.493,0.9570257395246679
25,6.96092069,0.743,0.952795999365099
26,6.95291573,0.999,0.9451106096354664
27,6.94479758,1.259,0.9375576351057837
28,6.9364104,1.524,0.9292913871021795
29,6.9278293,1.797,0.9195528190826282
30,6.91895068,2.077,0.9095210918789896
31,6.90987846,2.364,0.8991000631110183
32,6.90046413,2.662,0.8873635917750645
33,7.99083581,0.017,1.1959420472098792
34,7.98461484,0.215,0.9575115304424454
35,7.97778018,0.433,0.9516052823298364
36,7.97093018,0.651,0.94932767885353
37,7.96394647,0.874,0.9427045244272239
38,7.95682983,1.101,0.9352422981005006
39,7.94957336,1.332,0.9270462103965864
40,7.94211904,1.569,0.917910071350997
41,7.9345006,1.812,0.9081961471251967
42,7.92662791,2.061,0.8979557740442999
43,7.91860618,2.318,0.8867678796136637
44,8.99880347,0.014,1.2895508170265664
45,8.99326194,0.191,0.9570092512852482
46,8.98717088,0.386,0.9474546538074339
47,8.98105515,0.58,0.9454526258128959
48,8.97483489,0.778,0.9394628529757277
49,8.9685422,0.979,0.9327077268338988
50,8.9620934,1.184,0.9246300401274068
51,8.95549938,1.394,0.9156895659538493
52,8.94872734,1.609,0.9061431884486391
53,8.94181241,1.829,0.8961892438482738
54,8.93472759,2.056,0.8851630657683713
55,9.99766732,0.013,1.2499977470744648
56,9.99267869,0.172,0.9564370170036495
57,9.98715327,0.348,0.9455555802757037
58,9.98165281,0.524,0.9413769630399464
59,9.97608471,0.701,0.9376842703379106
60,9.9704096,0.883,0.929836821539802
61,9.96458093,1.067,0.9223701780500203
62,9.95866425,1.256,0.9133721155821579
63,9.9525617,1.449,0.9041501993189863
64,9.94635813,1.648,0.8934404539987109
65,9.93997986,1.85,0.8834196132106894
66,11.0038991,0.011,1.3421512142992034
67,10.9993193,0.157,0.9519016119687788
68,10.9942878,0.317,0.9428029489545715
69,10.9892809,0.477,0.9391571431907977
70,10.9841612,0.639,0.9340448193149496
71,10.9790009,0.804,0.9271135874662355
72,10.9737136,0.971,0.919993027664587
73,10.9683222,1.142,0.911699488791867
74,10.9628164,1.319,0.9012302461637796
75,10.9571534,1.499,0.8910551915683916
76,10.9512982,1.683,0.8807032332781637
77,11.9917434,0.009,1.505311666154861
78,11.9875182,0.143,0.9589417055926946
79,11.9829199,0.291,0.9422623691259606
80,11.9782771,0.439,0.9360455033290458
81,11.9736223,0.587,0.9325905951207153
82,11.9688374,0.739,0.9249822024619556
83,11.9640427,0.893,0.9172487864016462
84,11.9590642,1.051,0.9081871702307049
85,11.9540311,1.212,0.8990456478790663
86,11.9487684,1.377,0.8890070172459953
87,11.9434472,1.547,0.8780207603971903
88,12.9967649,0.009,1.3888743611710463
89,12.9927824,0.133,0.9509370433233761
90,12.988456,0.27,0.9369051767200043
91,12.9841617,0.406,0.9336102977816633
92,12.9798444,0.544,0.9281229278307971
93,12.975483,0.683,0.9229667081853663
94,12.9709483,0.826,0.9144188632684628
95,12.9664313,0.972,0.9053728567665451
96,12.961705,1.121,0.8961078866845933
97,12.9568782,1.274,0.8857083122663721
98,12.9519096,1.43,0.8753346255057788
99,13.9979323,0.008,1.4506957102692948
100,13.994283,0.124,0.9470266783343806
101,13.9902848,0.251,0.9356142944104316
102,13.9862752,0.378,0.9308137181294075
103,13.9822793,0.506,0.9261397126152885
104,13.9781843,0.636,0.9198820693757771
105,13.9740375,0.769,0.9114588053837585
106,13.9697203,0.905,0.9022898530060118
107,13.965367,1.043,0.8934999907438808
108,13.9608841,1.185,0.883333572834626
109,13.9563052,1.331,0.8722089332406782
110,14.9993319,0.007,1.5472491308762895
111,14.9959721,0.114,0.9618962130995724
112,14.9922678,0.234,0.936601536180383
113,14.9884765,0.354,0.9273541604230401
114,14.9846706,0.473,0.9243709865793643
115,14.9808741,0.595,0.9173060036552055
116,14.9769671,0.719,0.909353619123806
117,14.9729751,0.847,0.8992303698675144
118,14.9688476,0.977,0.8896438079391271
119,14.9646662,1.109,0.8802288920874425
120,14.9604107,1.246,0.8687866537730541
121,15.9965834,0.006,1.6926718774418628
122,15.9933549,0.109,0.943365108685623
123,15.9898282,0.22,0.934138305114384
124,15.9862582,0.333,0.9242628086417123
125,15.9827357,0.445,0.9210711140555201
126,15.9791404,0.56,0.9136261153322114
127,15.9754974,0.676,0.906574200638479
128,15.9716916,0.797,0.8956561642557476
129,15.9678627,0.918,0.8873074882593381
130,15.9638945,1.044,0.8761603910677491
131,15.9598735,1.172,0.8653564688020902
132,16.9942679,0.005,1.9119599866729182
133,16.9912187,0.102,0.9489016028510968
134,16.9878098,0.208,0.9299871217970938
135,16.9844536,0.314,0.9225180618820409
136,16.9810612,0.42,0.918416784517566
137,16.9776432,0.529,0.9101364362670119
138,16.9742279,0.639,0.9024692503215143
139,16.9706648,0.752,0.893191472807479
140,16.9670727,0.868,0.8829704377002016
141,16.9632446,0.986,0.872701697695966
142,16.9594847,1.107,0.8617263260739143
